cycles,frequency
64657000,0.051043730371469906
60722000,0.006081977742144078
64360000,0.009543065147501374
60708000,0.013864317324156392
60056000,0.013711175222593052
58660000,0.021883099727064568
60183000,0.006035649597137255
58733000,0.014168667967056294
60650000,0.01961988410791449
60187000,0.0063028570331897064
63973000,0.010297411778706028
63856000,0.009692684531807445
63691000,0.020295682111522877
63772000,0.010602997579715428
56200000,0.001718618078148541
60841000,0.012625354773190437
60679000,0.012625354773190439
62526000,0.009245955562292596
53409000,0.003693628172790019
60307000,0.0063448048879404546
57159000,0.004519524370099245
56551000,0.0018034588575389972
60813000,0.013403181212644834
58754000,0.014168667967056294
63956000,0.010297411778706028
60170000,0.0063028570331897064
61195000,0.019069499712235437
56490000,0.0015960820592270774
56871000,0.009948536921275118
58759000,0.009905835020189532
56317000,0.0015565070980821975
64302000,0.05103363644866285
60156000,0.013093210500397901
62396000,0.10230904579354982
62505000,0.009245955562292596
60608000,0.16471268165075748
56313000,0.0018034588575389972
56437000,0.0015175703133445692
64328000,0.009842965840229463
56300000,0.0015565070980821975
66446000,0.08807002025340911
60001000,0.05817401792195835
60070000,0.006127603997384726
60173000,0.013093210500397901
55979000,0.001718618078148541
62545000,0.10230904579354982
64218000,0.018788287407208677
55953000,0.0014792728367268332
56116000,0.0014792728367268332
56509000,0.0016771397898580646
